Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
 Other North Africa and the Middle East ,5500,6400,8400,10100,12900,12900,13400,16100,18600,21000,20600,16900,17600,22800,24000,24900,26200,28400,29000,31900,28800,29300,32200,34900,34300,38000,39000,40200,38200
 Total North Africa and the Middle East ,14900,16200,20900,24100,28400,32000,36000,41500,48400,51900,55100,51900,53700,61800,65300,69700,80000,91000,92200,101700,91700,90400,98800,105900,110000,116700,124000,123000,121000
 Cambodia ,0,0,0,0,0,0,1000,1200,1200,1200,1200,1200,1200,1800,2400,3000,3800,4700,5400,5400,4800,4800,4800,4900,6700,9200,10200,12100,15700
 Thailand ,26700,33200,47700,66000,80700,89800,66700,44100,60900,72300,80200,81500,79000,75600,72700,67500,74500,70300,73900,74900,76100,70800,77300,77600,79100,91300,96200,100000,100600
 Vietnam ,3000,4800,3300,4000,4800,5200,7000,8700,8900,8800,9800,9400,9800,11000,13600,17800,25200,32400,33800,35300,34000,37200,40700,48100,57100,70600,94000,111300,124800
 Indonesia ,37100,45400,67400,100900,130800,145000,152600,99100,89800,91000,93500,90900,87900,84200,82400,79400,87900,94000,103600,119300,134800,139100,142400,151900,151700,169900,196300,198100,214400
 Malaysia ,50000,62200,78200,95000,108400,128600,142800,119300,139700,153800,152800,153600,162100,171200,162200,144900,153000,169100,208200,222100,227900,244700,271000,333400,340700,394800,396800,400400,378600
 Philippines ,16400,16200,17600,21400,27000,33400,40300,35400,40100,39300,30400,27700,27200,31700,34100,37800,44400,47500,52200,58800,65300,74800,75100,81600,93900,112800,127400,142300,159100
 Singapore ,90000,109900,150000,188500,205900,223100,241000,251700,273100,278800,314500,290000,270700,241800,249800,232600,235300,227400,247300,264100,268400,288700,328900,373100,385400,422000,437700,444900,480900
 Other South-East Asia ,3300,4000,4800,6600,6900,8300,8200,9200,8200,12800,14800,16300,15000,10300,11100,11000,12400,14300,14000,14600,14300,14000,15100,16900,16800,18600,20400,21200,24400
 Total South-East Asia ,226000,275700,369800,482800,564900,634100,660200,568700,621600,657600,697400,670300,652900,627900,628800,594000,636500,659500,738200,795200,826000,874900,956000,1088100,1131200,1289300,1379400,1429900,1498200
 China ,16300,17800,22300,28900,42300,55900,68900,79300,93600,120900,160300,190100,217600,252400,267400,316600,356500,357100,368900,457500,549500,642100,735700,854700,1047300,1227900,1378300,1437600,1442000
 Hong Kong ,63400,74900,93900,111900,132900,152300,149700,145100,141700,153500,157100,147300,130200,136400,156900,149000,139900,129700,144700,151900,154500,162300,183600,205200,220600,241700,283300,306400,320600
 Taiwan ,36500,62700,106400,148400,149300,157100,156500,146900,150600,132100,106900,97100,101800,94400,112100,92900,92300,77400,94800,86300,85400,98200,109600,119200,132200,162400,180900,204600,197500
 Japan ,538000,629300,670100,718600,786400,816700,818000,760700,712500,712000,713500,717300,683100,708500,676500,642100,568500,457600,389200,394800,329700,352100,328600,339900,343200,412300,433400,465700,496900
" Korea, South ",25700,33300,61700,109800,165600,232100,241900,66200,109100,158700,171700,190300,218300,213800,250100,265300,265400,223000,183800,220500,207100,205900,202400,203000,224500,281300,297600,291500,280200
 Other North-East Asia ,1200,1200,1400,3100,1700,2100,2400,3000,3600,3600,2900,1900,1700,2400,3400,3600,3600,3600,4700,4800,5000,6000,6800,7900,9100,10800,12600,15200,16000
 Total North-East Asia ,680600,819000,955800,1120800,1278000,1416200,1437300,1201400,1210500,1280400,1312200,1344200,1352600,1407700,1466000,1469100,1426100,1248800,1185700,1315700,1331500,1466700,1566800,1729700,1976900,2336400,2586000,2720600,2753500
 Bangladesh ,700,0,1100,1200,1200,1200,1200,2000,2400,3200,3600,3000,3400,3600,2500,3000,3600,3700,5100,6000,7200,7200,8000,10100,10800,11900,16700,18900,20300
 India ,9800,9500,9800,12000,16900,21100,26400,29300,33400,41700,48000,44100,48500,54600,66000,80900,90400,108900,119900,139600,150200,159400,176500,200400,231800,262700,302500,358100,401600
 Nepal ,0,0,0,0,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1500,2400,2600,3600,4500,3900,5800,6500,8300,10500,14700,19500,27500,38100
